object_level;object_name;oktmo;region;mun_upper;mun_lower;settlement;population;settlement_fias_id_dadata;settlement_with_type_dadata;settlement_type_dadata;settlement_type_full_dadata;settlement_dadata;fias_id_dadata;fias_level_dadata;okato_dadata;oktmo_dadata;qc_geo_dadata;qc_dadata;latitude_dadata;longitude_dadata;Указавшие национальную принадлежность;Абазины;Абхазы;Аварцы;Андийцы;Арчинцы;Ахвахцы;Багулалы;Бежтинцы;Ботлихцы;Гинухцы;Годоберинцы;Гунзибцы;Дидойцы;Каратинцы;Тиндалы;Хваршины;Чамалалы;Агулы (агульцы);Адыгейцы (абадзехи, адыгейцы-черкесы, адыги, адыгэ, сирийские адыгейцы, адыги-черкесы, черкесы-бжедуги);Азербайджанцы (азер);Алеуты;Алтайцы;Теленгиты;Тубалары;Челканцы;Американцы (афроамериканцы);Арабы (алжирцы, египтяне, иорданцы, иракцы, йеменцы, катарцы, ливанцы, ливийцы, марокканцы, палестинцы, сирийцы);Армяне (русские армяне);Черкесогаи;Ассирийцы;Афганцы (афганистанцы, пуштуны, хазарейцы);Балкарцы;Башкиры;Белорусы (беларусы);Бесермяне;Болгары;Боснийцы;Британцы (англичане);Буряты;Венгры;Вепсы;Водь;Вьетнамцы;Гагаузы;Горские евреи;Греки (византийскийские греки, рум);Греки-урумы;Грузинские евреи;Грузины;Аджарцы;Ингилойцы;Лазы;Мегрелы (менгрелы, мингрелы);Сваны;Даргинцы;Кайтагцы;Кубачинцы;Долганы;Дунгане;Евреи;Езиды;Ижорцы;Ингуши;Индийцы (индуисты);Испанцы;Итальянцы;Ительмены;Кабардинцы (адыги (с языком кабардинским));Казахи;Калмыки;Камчадалы;Караимы;Каракалпаки;Карачаевцы (карачаево-черкесы, карачай);Карелы;Кереки;Кеты (остяки);Юги;Киргизы (кыргыз);Китайцы;Коми (коми-зыряне);Коми-ижемцы;Коми-пермяки (пермяки);Корейцы;Коряки;Алюторцы;Крымские татары;Крымчаки;Кубинцы;Кумандинцы;Кумыки;Курды (курд);Курманч;Лакцы (кулинцы, лаки);Латыши (курляндцы);Латгальцы;Лезгины;Литовцы;Македонцы;Манси;Марийцы (мари, марий);Горные марийцы;Лугово-восточные марийцы;Молдаване;Монголы;Мордва (мордвины, мордовцы);Мордва-мокша;Мордва-эрзя (эрзя);Нагайбаки;Нанайцы;Нганасаны;Негидальцы;Немцы (русские немцы);Меннониты;Ненцы;Нивхи;Ногайцы;Карагаши;Орочи;Осетины (аланы);Осетины-дигорцы (дигорон, дигорцы);Осетины-иронцы;Пакистанцы (белуджи, белуч);Памирцы;Персы (иранцы, фарсиваны);Поляки;Румыны;Русины;Русские (русаки, сибиряки);Казаки (кубанские казаки, русские казаки);Поморы;Рутульцы (рутул);Саамы (саами);Селькупы;Сербы;Словаки;Словенцы;Сойоты;Среднеазиатские евреи;Табасараны (табасаран, табасаранцы);Таджики;Тазы;Талыши;Татары (татар);Астраханские татары;Кряшены;Мишари;Сибирские татары;Таты (митагинцы);Телеуты;Тофалары;Тувинцы;Тувинцы-тоджинцы;Турки;Турки-месхетинцы;Туркмены;Удины;Удмурты;Удэгейцы;Узбеки;Уйгуры;Уйльта;Украинцы;Ульчи;Финны;Финны-ингерманландцы (ингерманландцы);Французы;Хакасы;Ханты;Хемшилы (хемшины);Хорваты;Цахуры (цахурцы);Цыгане (дом, сэрвы);Цыгане среднеазиатские;Черкесы (адыги (с языком черкесским), адыгэ (с языком черкесским), убыхи, адыги-черкесы (с языком черкесским), сирийские адыги);Черногорцы;Чехи;Чеченцы;Чеченцы-аккинцы;Чуванцы;Чуваши;Чукчи;Чулымцы;Шапсуги (адыги (с языком шапсугским);Шорцы;Эвенки (эвенк);Эвены (эвен);Энцы;Эскимосы;Эстонцы;Сету;Юкагиры;Якуты (саха) (саха);Японцы;Указавшие другие ответы о национальной принадлежности (не перечисленные выше);Нет национальной принадлежности*;Без нации;Без национальной принадлежности;Без национальности;Не имею национальной принадлежности;Никакая национальность;Нет;Отсутствует;Лица, в переписных листах которых национальная принадлежность не указана;Неизвестно;Нет сведений;Отказавшиеся отвечать на вопрос о национальной принадлежности;Затрудняюсь ответить;Не знаю;Не определились;Не понимаю;Отказ от ответа;Предпочитаю не отвечать
Город федерального значения;Москва;45000000;Москва;;;;13010112;;;;;;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;1.0;45000000000;45000000;4.0;0.0;55.7540584;37.62049;10059391;161;2377;4363;8;1;5;2;3;0;0;1;0;9;9;0;21;4;273;375;37539;8;99;5;5;7;430;2281;68645;1;436;685;643;5840;18047;14;1073;29;455;2985;165;51;5;1724;535;73;1637;3;7;26566;43;0;7;72;4;2367;3;16;10;27;29048;405;7;2859;517;556;546;10;2383;10005;4001;7;66;73;812;260;3;2;0;16887;1240;414;5;84;4665;23;0;258;19;208;2;1599;142;0;1195;1080;5;3946;795;36;24;1396;11;4;8200;220;7212;272;290;10;18;1;0;3833;0;48;8;549;0;0;6864;36;16;112;72;299;1947;255;72;9077136;1316;88;258;15;1;638;41;16;1;6;655;22871;0;375;85783;0;53;40;2;34;7;2;557;0;1608;15;2045;39;1143;4;29643;122;0;60210;1;232;20;526;174;41;1;61;72;459;0;1442;37;188;11530;1;4;8526;47;0;10;35;127;102;2;11;617;3;5;1114;192;362900;105258;3;24;19;103697;60;1431;24;2950721;3430;569934;2377357;204823;193;122;7;611;2171601
Город федерального значения;Санкт-Петербург;40000000;Санкт-Петербург;;;;5601911;;;;;;c2deb16a-0330-4f05-821f-1d09c93331e6;1.0;40000000000;40000000;4.0;0.0;59.9390012;30.3158184;4717233;49;736;1920;9;0;0;0;0;0;0;0;0;2;5;1;0;5;140;98;16514;4;46;1;5;0;141;1185;14879;0;115;272;218;3258;15822;7;476;3;125;1612;53;291;27;399;258;4;708;0;1;6541;8;0;0;31;0;964;0;0;31;33;9471;82;57;617;150;100;213;9;878;5115;1077;6;14;30;205;786;1;3;0;4564;1861;888;8;80;2178;25;0;102;5;72;5;1346;47;0;242;745;2;2750;650;20;25;805;3;4;2942;162;1358;42;91;9;12;4;0;2423;0;61;6;187;4;1;2263;1;1;33;26;174;1349;82;35;4276084;438;146;95;49;10;149;17;9;6;3;611;9608;3;373;20810;1;29;11;20;32;3;3;440;0;612;3;1198;43;853;6;12236;71;3;30059;0;1156;223;164;89;38;4;15;37;208;0;326;4;53;1593;0;2;2749;47;0;0;16;52;47;3;8;883;10;4;704;44;146921;100500;3;21448;7;78550;2;474;16;884678;120;322039;562519;56886;0;31;0;3;505599
Населенный пункт;г. Новосибирск;50701000001;Новосибирская область;Городской округ город Новосибирск;Городской округ город Новосибирск;г. Новосибирск;1633595;;;;;;8dea00e3-9aab-4d8e-887c-ef2aaa546456;4.0;50401000000.0;50701000001.0;4.0;0.0;55.030187;82.920426;1236286;8;13;145;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;5;2760;0;402;12;19;11;7;90;3305;0;7;8;16;391;1376;0;86;1;16;1261;4;7;0;37;18;1;125;0;0;385;0;0;1;2;0;57;0;1;5;15;1115;758;3;81;23;14;13;0;25;2666;45;1;5;17;11;11;1;2;0;5428;147;36;0;26;1055;4;0;32;0;3;16;48;9;1;23;88;23;202;87;0;9;145;0;0;196;27;346;8;11;1;8;0;0;4995;0;14;0;57;0;2;163;0;0;2;3;26;334;10;7;1161445;89;4;14;1;12;10;1;2;1;1;63;6532;0;58;6368;0;3;2;8;4;25;0;1101;0;55;0;93;2;157;1;5675;95;0;5582;3;28;0;21;253;23;1;0;29;616;5;9;1;12;94;0;1;483;5;0;0;50;39;10;0;2;103;3;5;408;5;14055;5138;0;5;4;3019;0;2107;3;397309;362;335024;61923;6307;16;13;0;44;55543
Населенный пункт;г. Екатеринбург;65701000001;Свердловская область;"Городской округ муниципальное образование ""город Екатеринбург""";"Городской округ муниципальное образование ""город Екатеринбург""";г. Екатеринбург;1544376;;;;;;2763c110-cb8b-416a-9dac-ad28a55b4402;4.0;65401000000;65701000001;4.0;1.0;56.8387061;60.6054943;1288223;2;25;157;0;0;0;0;0;0;0;0;0;1;0;0;0;1;16;7;4043;0;8;0;2;0;10;249;4347;0;37;27;5;6257;1561;22;86;11;13;167;9;2;0;168;25;2;420;0;0;718;1;3;0;7;1;81;1;0;0;5;1874;562;3;68;22;7;33;1;68;1856;33;1;6;7;24;10;0;2;1;8770;431;111;2;129;366;1;0;25;1;15;1;100;40;1;69;41;0;471;55;2;50;3125;0;3;262;20;918;5;20;13;0;0;0;1562;0;8;3;26;0;0;139;0;2;5;34;21;276;26;10;1173107;110;0;42;5;2;54;1;1;0;0;93;13119;0;143;27994;0;8;11;3;3;0;1;37;0;77;0;120;53;1181;1;4773;66;0;5154;0;35;1;20;24;42;0;2;24;285;0;20;0;18;228;0;0;1038;4;0;0;3;4;5;0;0;53;2;1;78;14;16531;5685;1;5;2;5141;1;530;5;256153;20;157669;98464;10692;7;8;0;65;87692
Населенный пункт;г. Казань;92701000001;Республика Татарстан;Городской округ город Казань;Городской округ город Казань;г. Казань;1308660;;;;;;93b3df57-4c89-44df-ac42-96f05e9cd3b9;4.0;92401000000;92701000001;4.0;0.0;55.7944326;49.1115164;1245979;3;35;102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;11;4108;0;25;0;0;0;10;453;1584;0;35;89;25;2495;979;3;39;5;7;133;11;2;0;233;15;0;159;0;0;699;0;0;0;4;0;101;0;0;0;13;1531;6;0;32;317;23;14;0;56;1070;51;0;0;19;10;5;1;0;0;1102;251;42;1;14;274;2;0;59;0;5;0;61;17;0;48;37;2;206;36;0;4;3853;7;0;146;11;1316;22;25;9;0;0;0;317;0;2;0;18;0;0;128;0;1;18;2;40;80;5;2;584746;87;2;6;0;0;61;5;0;0;1;46;4209;0;16;609921;0;2142;186;4;16;2;0;38;0;468;0;913;0;1805;0;6494;38;0;3261;0;7;0;14;8;0;0;2;1;57;0;20;14;3;207;0;1;9580;1;0;0;2;3;0;0;3;27;0;0;62;6;3111;821;0;1;5;707;8;100;0;62681;0;47069;15612;3122;7;24;6;15;12438
Населенный пункт;г. Нижний Новгород;22701000001;Нижегородская область;Городской округ город Нижний Новгород;Городской округ город Нижний Новгород;г. Нижний Новгород;1226076;;;;;;555e7d61-d9a7-4ba6-9770-6caa8198c483;4.0;22401000000.0;22701000001.0;4.0;0.0;56.326794;44.006495;852436;5;42;157;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;7;2848;0;5;0;0;0;9;276;4699;0;50;3;13;132;817;3;48;1;8;28;3;7;0;15;29;1;74;1;0;535;1;0;0;1;0;81;0;0;0;1;1313;338;0;63;18;12;9;0;37;217;13;1;1;3;25;13;0;0;0;399;26;85;0;15;187;1;0;21;0;9;0;78;4;0;35;31;0;226;37;0;3;393;17;0;201;8;1325;7;148;0;2;0;0;214;0;3;0;18;0;0;105;0;0;1;4;13;79;6;8;808839;63;4;1;2;0;17;4;2;0;0;33;1133;0;12;5806;0;3;1;0;1;0;0;4;0;83;0;93;0;147;0;2264;7;0;2825;0;9;0;4;2;7;0;0;23;172;0;10;0;2;103;0;0;1255;1;0;0;1;3;0;0;1;17;0;0;13;2;13441;1252;0;0;2;760;5;484;1;373640;30;337702;35908;3839;10;7;0;27;32025
Населенный пункт;г. Челябинск;75701000001;Челябинская область;Челябинский городской округ;Челябинский городской округ;г. Челябинск;1189525;;;;;;a376e68d-724a-4472-be7c-891bdb09ae32;4.0;75401000000;75701000001;4.0;0.0;55.1602292;61.4007614;1001698;0;24;73;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;1645;0;8;0;0;0;6;189;3421;0;3;6;2;26310;1520;0;113;0;3;77;5;4;0;14;11;0;123;0;2;497;1;0;0;0;0;36;0;0;0;5;1145;131;1;41;16;6;16;0;32;3509;20;0;5;7;5;10;0;0;0;694;165;34;0;22;226;1;0;8;0;2;0;41;23;0;14;59;2;113;67;0;7;320;0;0;171;7;1087;9;17;150;2;0;0;3613;0;17;0;6;0;0;91;0;0;1;1;7;241;12;5;890838;105;2;6;1;0;8;1;0;0;0;22;6060;0;29;37510;0;6;34;0;0;0;0;13;0;61;0;100;4;258;1;4237;35;0;5772;0;35;0;12;10;7;0;1;33;519;0;17;0;5;190;0;0;902;9;0;0;3;4;0;0;0;69;0;1;7;5;6628;3681;0;3;4;3541;3;121;9;187827;810;128767;58250;6911;7;5;0;20;51307
Населенный пункт;г. Красноярск;4701000001;Красноярский край;Городской округ город Красноярск;Городской округ город Красноярск;г. Красноярск;1187771;;;;;;9b968c73-f4d4-4012-8da8-3dacd4d4c1bd;4.0;4401000000.0;4701000001.0;4.0;0.0;56.0095312;92.8525234;1006433;1;23;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;4481;0;19;6;1;1;16;39;4714;0;6;5;4;244;1015;0;33;0;7;534;4;2;0;63;13;0;105;1;0;510;0;17;0;2;0;44;0;0;71;4;466;9;0;43;10;7;7;1;16;862;20;0;3;16;5;10;0;46;0;8956;416;15;0;18;218;2;0;19;0;2;1;35;4;0;4;160;27;385;134;3;0;165;0;1;176;23;260;6;6;0;0;9;0;1707;0;40;0;5;0;0;143;0;0;1;5;13;165;9;3;948443;71;3;18;0;5;18;0;2;1;0;34;9068;0;33;4970;0;7;0;4;1;1;5;1544;1;41;1;69;0;110;0;5575;30;0;2994;0;31;2;5;844;4;0;2;3;366;0;5;0;4;176;0;0;724;10;6;0;32;139;3;1;1;151;11;2;152;10;2161;2758;0;1;0;2680;5;72;0;181338;148;111921;69269;8648;14;2;0;29;60576
Населенный пункт;г. Самара;36701000001;Самарская область;Городской округ Самара;Городской округ Самара;г. Самара;1173299;;;;;;bb035cc3-1dc2-4627-9d25-a1bf2d4b936b;4.0;36401000000;36701000;4.0;0.0;53.1951774;50.1069625;1066484;5;26;121;1;0;0;0;0;0;0;0;0;0;0;0;0;0;25;5;3640;1;6;0;0;0;7;152;6079;0;6;2;10;1340;1022;0;51;0;21;34;2;2;0;35;3;3;124;0;0;908;0;0;0;3;0;59;0;0;2;2;1751;16;0;52;8;8;17;1;42;3036;25;1;0;7;15;15;0;0;0;1529;19;16;0;17;257;1;0;15;1;3;0;28;17;0;40;47;2;192;40;0;0;206;0;0;233;4;4588;27;135;1;0;0;0;626;0;9;0;7;0;2;203;0;0;4;13;14;125;10;5;979260;94;4;1;0;0;13;0;0;0;0;59;5637;0;75;29788;0;2;1;0;4;1;1;2;0;61;0;260;0;101;0;6012;14;0;4337;0;16;2;20;18;3;0;0;17;639;0;23;0;7;285;0;2;4902;11;0;0;1;2;1;0;0;36;0;0;20;2;4009;5082;0;1;1;5017;2;56;5;106815;2;35834;70979;4289;9;16;0;24;66641
Населенный пункт;г. Уфа;80701000001;Республика Башкортостан;Городской округ город Уфа;Городской округ город Уфа;г. Уфа;1144809;;;;;;7339e834-2cb4-4734-a4c7-1fca2c66e562;4.0;80401000000;80701000001;4.0;0.0;54.734856;55.9577802;1118157;2;24;130;8;0;0;0;1;0;0;0;0;0;0;0;0;0;10;7;1668;0;6;0;0;0;11;777;2826;0;10;84;19;229085;1311;0;56;0;12;36;8;0;0;473;13;0;160;0;0;409;2;0;0;1;0;42;0;0;1;0;952;60;1;74;514;17;18;0;21;919;25;0;3;9;13;3;0;0;0;225;80;24;0;2;156;0;0;22;1;35;0;38;17;0;13;124;0;144;44;0;0;5538;0;0;106;3;939;2;20;3;3;0;0;805;0;3;1;16;0;0;44;0;0;2;0;16;100;3;1;547044;66;4;0;0;0;15;0;0;0;0;36;3104;0;18;303373;1;64;74;2;56;0;0;10;0;190;8;237;0;497;1;3383;25;0;4570;0;11;1;28;5;3;0;0;1;96;0;2;0;6;205;0;0;5643;2;0;0;1;0;6;0;0;32;0;2;10;5;1734;2006;1;4;3;1764;2;232;0;26652;3;8730;17919;3080;10;6;0;70;14753
